A,B,C,D,label
1.7641,0.4002,0.9787,2.2409,-18.0403
1.8676,-0.9773,0.9501,-0.1514,7.6894
-0.1032,0.4106,0.1440,1.4543,-16.0089
0.7610,0.1217,0.4439,0.3337,1.1407
1.4941,-0.2052,0.3131,-0.8541,12.3256
-2.5530,0.6536,0.8644,-0.7422,-8.9458
2.2698,-1.4544,0.0458,-0.1872,8.0164
1.5328,1.4694,0.1549,0.3782,8.0926
-0.8878,-1.9808,-0.3479,0.1563,-5.9542
1.2303,1.2024,-0.3873,-0.3023,11.0728
-1.0486,-1.4200,-1.7063,1.9508,-28.3988
-0.5097,-0.4381,-1.2528,0.7775,-10.1866
-1.6139,-0.2127,-0.8955,0.3869,-11.3402
-0.5108,-1.1806,-0.0282,0.4283,-6.9249
0.0665,0.3025,-0.6343,-0.3627,3.2876
-0.6725,-0.3596,-0.8131,-1.7263,4.3769
0.1774,-0.4018,-1.6302,0.4628,-3.7108
-0.9073,0.0519,0.7291,0.1290,-5.5989
1.1394,-1.2348,0.4023,-0.6848,7.5997
-0.8708,-0.5788,-0.3116,0.0562,-4.8953
-1.1651,0.9008,0.4657,-1.5362,1.5804
1.4883,1.8959,1.1788,-0.1799,13.5378
-1.0708,1.0545,-0.4032,1.2224,-18.1950
0.2083,0.9766,0.3564,0.7066,-4.4233
0.0105,1.7859,0.1269,0.4020,-1.6582
1.8832,-1.3478,-1.2705,0.9694,-4.0952
-1.1731,1.9436,-0.4136,-0.7475,-1.3490
1.9229,1.4805,1.8676,0.9060,5.0631
-0.8612,1.9101,-0.2680,0.8025,-11.7617
0.9473,-0.1550,0.6141,0.9222,-4.6488
