A,B,C,D,label
1.7641,0.8779,0.8379,3.0000,-30.8802
0.4002,-0.8549,0.0961,0.0000,0.9008
0.9787,-1.5545,0.9765,3.0000,-40.2995
2.2409,-1.4255,0.4687,1.0000,-3.2210
1.8676,-0.8039,0.9768,3.0000,-35.0088
-0.9773,-1.9379,0.6048,3.0000,-47.0052
0.9501,-0.9011,0.7393,1.0000,-6.8145
-0.1514,-0.8894,0.0392,3.0000,-43.3635
-0.1032,-1.7638,0.2828,3.0000,-43.9111
0.4106,-1.8620,0.1202,3.0000,-42.4829
0.1440,-1.6210,0.2961,1.0000,-11.2204
1.4543,-1.5479,0.1187,3.0000,-38.3366
0.7610,-1.1556,0.3180,2.0000,-22.2566
0.1217,-1.4227,0.4143,3.0000,-42.9072
0.4439,2.4545,0.0641,3.0000,-36.1420
0.3337,-1.8924,0.6925,1.0000,-10.8709
1.4941,-1.7657,0.5666,3.0000,-38.8720
-0.2052,-1.8241,0.2654,1.0000,-12.3834
0.3131,-0.9413,0.5232,3.0000,-41.6330
-0.8541,-1.7079,0.0939,3.0000,-46.6296
-2.5530,-1.3721,0.5759,3.0000,-52.6043
0.6536,-1.7197,0.9293,3.0000,-41.4430
0.8644,-1.8269,0.3186,3.0000,-41.1534
-0.7422,-1.8830,0.6674,3.0000,-46.2113
2.2698,-0.9319,0.1318,3.0000,-33.7419
-1.4544,-1.8513,0.7163,3.0000,-48.2457
0.0458,-1.7811,0.2894,2.0000,-25.5666
-0.1872,-1.5400,0.1832,3.0000,-44.1469
1.5328,-0.2797,0.5865,0.0000,6.8786
1.4694,-1.8979,0.0201,1.0000,-7.2858
