Average Train Error: 0.2923, Average Test Error: 2.3594
Lowest Error : Fold 1, train error: 0.2473, test error: 2.1616

Fold 0, train error: 0.3072, test error: 2.2679
Fold 1, train error: 0.2473, test error: 2.1616
Fold 2, train error: 0.2788, test error: 2.5049
Fold 3, train error: 0.2646, test error: 2.3598
Fold 4, train error: 0.3173, test error: 2.4696
Fold 5, train error: 0.3068, test error: 2.3645
Fold 6, train error: 0.2881, test error: 2.3333
Fold 7, train error: 0.3788, test error: 2.2797
Fold 8, train error: 0.2586, test error: 2.4150
Fold 9, train error: 0.2752, test error: 2.4381
